title,price,area,location,status
1 BHK Apartment in Mahindra Centralis,"17,000",750,"Pimpri, Pune",Unfurnished
3 BHK Apartment,"35,000",2000,"Wakad, Pune",Semi-Furnished
2 BHK Apartment in Gayatrree Landmark,"20,000",1300,"Thergaon, Pune",Semi-Furnished
2 BHK Apartment in G Corp Greens,"28,500",1450,"Thergaon, Pune",Furnished
3 BHK Apartment in Kolte Patil 24K Opula,"55,000",2100,"Pimple Nilakh, Pune",Semi-Furnished
2 BHK Apartment in Mahindra Centralis Tower 2,"24,000",900,"Pimpri, Pune",Semi-Furnished
2 BHK Apartment in Pudumjee G Greens,"25,000",1450,"Wakad, Pune",Semi-Furnished
2 BHK Apartment in Godrej Elements,"23,000",1250,"Hinjewadi, Pune",Semi-Furnished
3 BHK Apartment in Lodha Lodha Belmondo,"61,000",2100,"Gahunje, Pune",Furnished
3 BHK Villa,"60,000",3500,"Wakad, Pune",Semi-Furnished
3 BHK Apartment in G Corp Greens,"30,000",1800,"Thergaon, Pune",Semi-Furnished
2 BHK Apartment in Bhandari 7 Plumeria Drive Phase 1,"22,000",1250,"Tathawade, Pune",Semi-Furnished
2 BHK Apartment in Pride Purple Topaz Park,"27,000",1200,"Wakad, Pune",Furnished
4 BHK Apartment in Kasturi Epitome,"75,000",2600,"Wakad, Pune",Semi-Furnished
4 BHK Apartment in Kolte Patil 24K Opula,"70,000",2600,"Pimple Nilakh, Pune",Semi-Furnished
3 BHK Apartment in Runal Gateway Phase II,"23,000",1400,"Ravet, Pune",Semi-Furnished
1 BHK Independent House,"12,000",650,"Pimple Saudagar, Pune",Unfurnished
1 BHK Independent House,"9,000",750,"New Sangavi, Pune",Semi-Furnished
1 BHK Apartment,"8,500",580,"Pimple Gurav, Pune",Unfurnished
1 BHK Apartment in Reputed Builder Surya Nagari Society,"11,500",660,"Pimple Gurav, Pune",Unfurnished
1 RK Studio Apartment,"7,000",450,"Pimple Gurav, Pune",Unfurnished
1 BHK Independent House,"10,000",580,"Pimple Saudagar, Pune",Unfurnished
1 BHK Independent House,"10,000",750,"New Sangavi, Pune",Unfurnished
1 BHK Apartment,"10,500",650,"Old Sangvi, Pune",Unfurnished
1 BHK Apartment in Swaraj Homes Premraj Complex,"10,000",650,"Old Sanghvi, Pune",Unfurnished
1 BHK Apartment,"10,000",650,"Pimple Gurav, Pune",Unfurnished
1 RK Studio Apartment,"7,500",350,"Pimple Gurav, Pune",Unfurnished
1 RK Studio Apartment,"7,500",400,"Pimple Gurav, Pune",Unfurnished
1 BHK Apartment,"10,000",550,"Pimple Gurav, Pune",Unfurnished
1 BHK Independent House,"12,000",650,"New Sangavi, Pune",Unfurnished
1 RK Studio Apartment,"7,500",500,"Pimple Gurav, Pune",Unfurnished
1 BHK Apartment,"10,000",600,"Pimple Gurav, Pune",Unfurnished
1 RK Studio Apartment,"7,000",450,"Pimple Gurav, Pune",Unfurnished
2 BHK Apartment,"14,000",800,"Pimple Gurav, Pune",Unfurnished
1 BHK Apartment,"11,000",650,"New Sangavi, Pune",Unfurnished
2 BHK Apartment in GK Roseland Residency,"20,000",950,"Pimple Saudagar, Pune",Unfurnished
2 BHK Apartment in SSD Sai Pearl Phase 1,"22,500",1060,"Pimple Saudagar, Pune",Unfurnished
1 BHK Apartment,"10,000",650,"Pimple Gurav, Pune",Unfurnished
1 RK Studio Apartment,"7,500",400,"Pimple Gurav, Pune",Unfurnished
1 BHK Apartment,"10,000",550,"Pimple Gurav, Pune",Unfurnished
1 RK Studio Apartment,"7,500",500,"Pimple Gurav, Pune",Unfurnished
1 BHK Apartment,"10,000",650,"New Sangavi, Pune",Unfurnished
1 RK Studio Apartment,"7,000",450,"Pimple Gurav, Pune",Unfurnished
2 BHK Apartment,"20,000",990,"Pimple Gurav, Pune",Unfurnished
2 BHK Apartment in Chandrarang Kalpvruksha,"20,000",1030,"Pimple Gurav, Pune",Semi-Furnished
3 BHK Apartment in Morning Shreemanyogi,"28,000",1800,"Rahatani, Pune",Unfurnished
1 BHK Independent House,"10,000",650,"New Sangavi, Pune",Semi-Furnished
1 BHK Apartment,"13,500",680,"New Sangavi, Pune",Unfurnished
1 BHK Apartment,"13,000",650,"New Sangavi, Pune",Unfurnished
1 BHK Apartment,"10,500",650,"New Sangavi, Pune",Unfurnished
1 BHK Independent Floor,"10,000",620,"New Sangavi, Pune",Unfurnished
2 BHK Apartment in Chandrarang 10 Elite,"20,000",1060,"Pimple Gurav, Pune",Unfurnished
1 BHK Apartment,"12,000",650,"Old Sangvi, Pune",Unfurnished
2 BHK Apartment in Chandrarang Basileo,"18,000",1050,"Pimple Gurav, Pune",Semi-Furnished
1 BHK Apartment,"9,500",600,"Pimple Gurav, Pune",Unfurnished
1 RK Studio Apartment,"7,000",400,"Pimple Gurav, Pune",Unfurnished
1 BHK Apartment,"11,000",650,"Pimple Gurav, Pune",Unfurnished
1 BHK Apartment in Mayur Mayur Nagari,"14,500",650,"Pimple Gurav, Pune",Semi-Furnished
1 RK Studio Apartment,"7,500",400,"New Sangavi, Pune",Unfurnished
2 BHK Apartment,"16,000",860,"Pimple Gurav, Pune",Unfurnished
1 RK Studio Apartment,"7,500",450,"New Sangavi, Pune",Unfurnished
1 RK Studio Apartment,"14,000",700,"Handewadi, Pune",Unfurnished
1 BHK Independent House,"6,000",350,"Fursungi, Pune",Unfurnished
3 BHK Apartment in Godrej Infinity,"35,000",1620,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"35,000",1650,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in GK Silverland Residency Phase 1,"22,000",1150,"Ravet, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"39,999",1600,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"40,000",1600,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"38,000",1650,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"37,500",1650,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"36,000",1620,"Mundhwa, Pune",Semi-Furnished
2 BHK Apartment in Nyati Elan Central II,"15,000",820,"Wagholi, Pune",Unfurnished
3 BHK Apartment in Duville Riverdale Heights,"43,500",1520,"Kharadi, Pune",Semi-Furnished
3 BHK Apartment in Duville Riverdale Heights,"43,000",1520,"Kharadi, Pune",Semi-Furnished
3 BHK Apartment in Nyati Elysia II,"42,000",1500,"Kharadi, Pune",Semi-Furnished
3 BHK Apartment in Nyati Elysia II,"40,000",1500,"Kharadi, Pune",Semi-Furnished
3 BHK Apartment in Goel Ganga Ganga Platino Building P Q R,"39,508",1600,"Kharadi, Pune",Semi-Furnished
3 BHK Apartment in Gera Song Of Joy,"38,500",1650,"Kharadi, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"39,000",1600,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"38,500",1500,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"37,999",1650,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"38,000",1600,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"40,000",1400,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"40,000",1400,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"40,000",1650,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"40,000",1600,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"40,000",1600,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Panchshil Township,"80,000",2850,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment,"15,000",1200,"Keshav Nagar, Pune",Semi-Furnished
3 BHK Apartment in Mahalaxmi Zen Estate,"40,000",1856,"Kharadi, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"34,000",1620,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"38,000",1600,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"35,000",1650,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"40,000",1650,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Godrej Infinity,"40,000",1600,"Mundhwa, Pune",Semi-Furnished
1 BHK Apartment in Goel Ganga Goel Hari Ganga,"17,000",610,"Yerawada, Pune",Unfurnished
3 BHK Apartment in Nandan Prospera,"50,000",1650,"Baner, Pune",Furnished
3 BHK Villa in Kolte Patil Ivy Villa,"45,000",2700,"Wagholi, Pune",Semi-Furnished
2 BHK Apartment in Krutika Apartment,"22,000",1000,"Kothrud, Pune",Furnished
1 BHK Apartment in Wadhwani Sai Nisarg Park Phase 1,"14,000",600,"Pimple Saudagar, Pune",Unfurnished
2 BHK Apartment in Vascon Forest County,"47,000",1250,"Kharadi, Pune",Furnished
4 BHK Apartment in Panchshil Towers,"74,000",2835,"Kharadi, Pune",Semi-Furnished
3 BHK Apartment in Paranjape Blue Ridge,"24,000",1050,"Hinjewadi, Pune",Semi-Furnished
1 BHK Apartment in BU Bhandari Edenn Tower CGHS,"16,000",550,"Wakad, Pune",Semi-Furnished
2 BHK Apartment in Magarpatta Roystonea,"25,000",1100,"Hadapsar, Pune",Furnished
2 BHK Apartment in Godrej Prana,"17,000",1300,"Undri, Pune",Unfurnished
2 BHK Apartment in Reputed Builder Bombay Sappers,"18,000",640,"Wadgaon Sheri, Pune",Unfurnished
3 BHK Apartment,"25,000",1550,"Pimple Saudagar, Pune",Semi-Furnished
2 BHK Apartment in GK Developer Rose Icon,"23,000",1000,"Pimple Saudagar, Pune",Semi-Furnished
3 BHK Independent House in Siddhivinayak Shubhashree Wood,"26,000",1800,"Pimple Saudagar, Pune",Semi-Furnished
1 RK Studio Apartment,"11,500",450,"Pimple Saudagar, Pune",Unfurnished
2 BHK Apartment in GK Dwarka Sai Wonder,"25,000",1050,"Pimple Saudagar, Pune",Semi-Furnished
3 BHK Independent House,"28,000",1500,"Pimple Saudagar, Pune",Unfurnished
3 BHK Apartment in Kumar Kruti,"45,000",1450,"Kalyani Nagar, Pune",Furnished
1 BHK Apartment in Bramha Waterbay,"20,000",680,"Wadgaon Sheri, Pune",Semi-Furnished
2 BHK Apartment in Aditya Green Zone,"25,000",1000,"Baner, Pune",Unfurnished
3 BHK Apartment in Rohan Leher,"32,000",1300,"Baner, Pune",Unfurnished
2 BHK Apartment in Rachana Bella Casa Tower A,"22,000",1000,"Baner, Pune",Semi-Furnished
3 BHK Apartment in Prithvi Peony,"28,500",1290,"Baner, Pune",Semi-Furnished
2 BHK Apartment in Rachana Bella Casa Tower A,"22,000",1000,"Baner, Pune",Semi-Furnished
2 BHK Apartment in Kunal Aspiree Phase II,"32,000",1000,"Balewadi, Pune",Semi-Furnished
2 BHK Apartment in Pinewood,"21,000",1000,"Baner, Pune",Unfurnished
3 BHK Apartment in Adi Aventura,"21,500",1150,"Ravet, Pune",Semi-Furnished
3 BHK Apartment in GK Silverland Residency Phase III,"22,000",1160,"Ravet, Pune",Semi-Furnished
3 BHK Apartment in Bhandari 43 Privet Drive,"55,000",1500,"Balewadi, Pune",Furnished
1 BHK Apartment in Shree Swami Samarth Aryan Empire,"18,000",500,"Balewadi, Pune",Semi-Furnished
2 BHK Apartment in Nyati Environ,"26,000",1190,"Tingre Nagar, Pune",Semi-Furnished
2 BHK Apartment in Nyati Meadows II,"36,000",1050,"Wadgaon Sheri, Pune",Furnished
3 BHK Apartment in Nyati Meadows II,"37,000",1650,"Wadgaon Sheri, Pune",Semi-Furnished
2 BHK Apartment in Godrej 24,"21,000",850,"Hinjewadi, Pune",Semi-Furnished
1 BHK Apartment,"13,000",650,"Pimple Saudagar, Pune",Unfurnished
1 BHK Apartment,"13,000",650,"Pimple Saudagar, Pune",Unfurnished
2 BHK Apartment in Swaraj Homes Hillside Apartments,"14,000",1100,"Pashan, Pune",Unfurnished
3 BHK Apartment in Siddharth Heights,"29,000",1200,"Wanowrie, Pune",Furnished
3 BHK Apartment in Amanora Future Towers,"28,000",1000,"Hadapsar, Pune",Semi-Furnished
2 BHK Apartment in Vastu Buildcorp River Nest,"16,000",850,"Ravet, Pune",Unfurnished
1 BHK Apartment in Bhagwati Bhagwati Nagar,"16,000",750,"Pashan, Pune",Semi-Furnished
2 BHK Apartment in Reputed Builder Narayan Baug,"19,000",950,"Hadapsar, Pune",Furnished
2 BHK Apartment,"20,000",1200,"Mohammed wadi, Pune",Semi-Furnished
3 BHK Apartment in Reelicon Alpine Ridge,"26,000",950,"Baner, Pune",Unfurnished
2 BHK Apartment in Krupa Eden Park,"22,000",920,"Viman Nagar, Pune",Unfurnished
3 BHK Apartment in Tejas Harileela Apartment,"23,000",1200,"Baner, Pune",Semi-Furnished
2 BHK Apartment in Magarpatta Jasminium,"23,000",1100,"Hadapsar, Pune",Furnished
2 BHK Apartment in Godrej Infinity,"22,000",800,"Mundhwa, Pune",Semi-Furnished
5 BHK Apartment in Reputed Builder Jasmine Spring Valley,"41,000",2500,"Magarpatta, Pune",Semi-Furnished
2 BHK Apartment in Amanora Trendy Homes,"21,000",960,"Hadapsar, Pune",Furnished
2 BHK Apartment in Amanora Aspire Towers,"37,000",1255,"Hadapsar, Pune",Semi-Furnished
2 BHK Apartment in Amanora Aspire Towers,"37,000",1255,"Hadapsar, Pune",Semi-Furnished
2 BHK Apartment,"26,000",1300,"Ghorpadi, Pune",Unfurnished
3 BHK Apartment in Marvel Azure,"29,000",1500,"Hadapsar, Pune",Semi-Furnished
2 BHK Apartment in Nyati Elan Central II,"15,500",1050,"Wagholi, Pune",Unfurnished
1 BHK Apartment,"16,000",600,"Kharadi, Pune",Furnished
3 BHK Apartment in Nyati Elysia V,"33,000",1000,"Kharadi, Pune",Semi-Furnished
3 BHK Apartment in Shree Graffiti,"31,000",1400,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment,"28,000",1350,"Hadapsar, Pune",Unfurnished
2 BHK Apartment,"25,000",950,"Ghorpadi, Pune",Unfurnished
2 BHK Apartment,"21,000",650,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment in Alcon Renaissant,"24,000",780,"Kharadi, Pune",Furnished
3 BHK Apartment,"29,000",1100,"Kharadi, Pune",Furnished
3 BHK Apartment in Paranjape Swapna Samrat,"36,000",1200,"Deccan Gymkhana, Pune",Furnished
2 BHK Apartment,"21,000",950,"Baner, Pune",Furnished
2 BHK Apartment in Aditya Breeze Park,"27,000",900,"Balewadi, Pune",Unfurnished
2 BHK Apartment,"29,000",1200,"Wadgaon Sheri, Pune",Furnished
2 BHK Apartment in Reputed Builder Tirupati Township,"22,000",1125,"Dhanori, Pune",Semi-Furnished
2 BHK Apartment,"21,000",812,"Viman Nagar, Pune",Unfurnished
2 BHK Apartment in Peninsula Ashok Meadows,"20,000",1237,"Hinjewadi, Pune",Semi-Furnished
2 BHK Apartment,"22,000",1150,"Balewadi, Pune",Semi-Furnished
1 BHK Apartment in Reputed Builder Shravani Garden Society,"15,500",450,"Viman Nagar, Pune",Furnished
2 BHK Apartment,"15,000",1018,"Manjari Budruk, Pune",Unfurnished
2 BHK Apartment,"20,000",812,"Viman Nagar, Pune",Semi-Furnished
3 BHK Apartment in Prithvi Codename BESTOFMAGARPATTA,"28,000",1687,"Hadapsar, Pune",Unfurnished
2 BHK Apartment in Nyati Elysia V,"22,000",1150,"Kharadi, Pune",Semi-Furnished
1 BHK Apartment in Agarwal Ganga Residency,"14,000",775,"Hadapsar, Pune",Unfurnished
2 BHK Apartment in Geras Foliage,"21,000",812,"Viman Nagar, Pune",Semi-Furnished
1 BHK Apartment in Laxmi Laxmi Nagar Society,"16,000",1100,"Dhanori, Pune",Furnished
2 BHK Apartment,"21,000",1187,"Vishrantwadi, Pune",Semi-Furnished
3 BHK Apartment in Rohan Mithila,"29,000",1300,"Viman Nagar, Pune",Furnished
1 BHK Apartment,"16,000",600,"Dhanori, Pune",Furnished
1 BHK Apartment in JD Green Paradise,"13,000",550,"Lohegaon, Pune",Semi-Furnished
2 BHK Apartment,"13,000",1100,"Dhanori, Pune",Semi-Furnished
1 BHK Apartment,"13,000",550,"Lohegaon, Pune",Semi-Furnished
3 BHK Apartment in Puraniks Aldea Anexo,"24,000",1500,"Baner, Pune",Semi-Furnished
1 BHK Apartment,"14,000",650,"Dhanori, Pune",Semi-Furnished
2 BHK Apartment in Giridhar Oasis,"19,000",1100,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment,"16,000",950,"Kharadi, Pune",Furnished
1 BHK Apartment in Sunshine Apartment,"21,000",700,"Narhe, Pune",Furnished
2 BHK Apartment in Reputed Builder Vishal Heritage,"16,000",750,"Wadgaon Sheri, Pune",Semi-Furnished
2 BHK Apartment in Reputed Builder Vijay Vihar,"16,000",800,"Wadgaon Sheri, Pune",Semi-Furnished
2 BHK Apartment,"35,000",1300,"New Kalyani Nagar, Pune",Furnished
2 BHK Apartment,"21,000",850,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment,"24,000",1100,"Wadgaon Sheri, Pune",Semi-Furnished
2 BHK Apartment in Swaraj Homes Borate Vrundavan,"22,000",850,"Kharadi, Pune",Semi-Furnished
3 BHK Apartment,"29,000",1400,"Chandan Nagar, Pune",Furnished
3 BHK Apartment in DNV Iris Apartment,"31,000",1500,"Baner, Pune",Unfurnished
1 BHK Apartment in Goel Ganga Ganga Nebula Apartment,"16,000",750,"Viman Nagar, Pune",Unfurnished
2 BHK Apartment,"24,000",1200,"Baner, Pune",Semi-Furnished
3 BHK Apartment in Soham Oliva,"31,000",1300,"Balewadi, Pune",Furnished
2 BHK Apartment,"19,000",1000,"Baner, Pune",Semi-Furnished
2 BHK Apartment in Kunal Aspiree,"21,000",800,"Balewadi, Pune",Unfurnished
2 BHK Apartment in Atul Alcove,"23,000",1100,"Pimple Saudagar, Pune",Furnished
3 BHK Apartment,"26,000",850,"NIBM Annex Mohammadwadi, Pune",Unfurnished
2 BHK Apartment in Nyati Elysia V,"21,000",890,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment,"15,000",1125,"Vishrantwadi, Pune",Unfurnished
2 BHK Apartment,"19,000",1400,"Vishrantwadi, Pune",Furnished
3 BHK Apartment in Rohan Mithila,"34,000",935,"Viman Nagar, Pune",Semi-Furnished
2 BHK Apartment in Magarpatta Annex,"19,000",920,"Hadapsar, Pune",Furnished
2 BHK Apartment,"17,000",1786,"Wakad, Pune",Unfurnished
2 BHK Apartment in Icon Windsor Residency,"22,000",850,"Baner, Pune",Furnished
2 BHK Apartment,"19,000",1786,"Wakad, Pune",Furnished
3 BHK Apartment in Shree Graffiti Phase 1 B E F,"31,000",1400,"Mundhwa, Pune",Semi-Furnished
2 BHK Apartment in Kumar Picasso,"23,000",1250,"Hadapsar, Pune",Unfurnished
3 BHK Apartment in Kumar Paradise,"34,000",1530,"Hadapsar, Pune",Furnished
2 BHK Apartment,"25,000",950,"Mundhwa, Pune",Unfurnished
2 BHK Apartment in Reputed Builder Pillar Homes,"17,000",700,"Viman Nagar, Pune",Unfurnished
3 BHK Apartment in Kolte Patil Tuscan Estate Phase I And Phase II,"54,000",1600,"Kharadi, Pune",Furnished
2 BHK Apartment in Wellwisher Kiarah Terrazo,"16,000",950,"Hadapsar, Pune",Semi-Furnished
2 BHK Apartment in Wellwisher Kiarah Terrazo,"16,000",950,"Hadapsar, Pune",Semi-Furnished
3 BHK Apartment in Kolte Patil IVY Apartments,"25,000",1650,"Wagholi, Pune",Semi-Furnished
2 BHK Apartment in Karan Rhea,"18,000",750,"Wadgaon Sheri, Pune",Semi-Furnished
1 BHK Apartment in Kumar Palaash,"18,000",750,"Wadgaon Sheri, Pune",Unfurnished
3 BHK Apartment in Gera Greens Ville Sky Villas,"53,000",2500,"Kharadi, Pune",Semi-Furnished
4 BHK Apartment,"55,000",2500,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment in Nyati Elysia II,"30,000",1040,"Kharadi, Pune",Semi-Furnished
3 BHK Apartment in Vascon Forest County,"45,000",1700,"Kharadi, Pune",Semi-Furnished
3 BHK Apartment in Gera Greens Ville Sky Villas,"52,000",2350,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment,"26,000",1150,"Kharadi, Pune",Semi-Furnished
4 BHK Villa in Gera Greens Ville Sky Villas,"55,000",2900,"Kharadi, Pune",Semi-Furnished
3 BHK Villa in Gera Greens Ville Sky Villas,"55,000",2500,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment in Godrej Infinity,"28,000",1200,"Mundhwa, Pune",Semi-Furnished
2 BHK Apartment in Mahalaxmi Zen Estate,"28,000",1150,"Kharadi, Pune",Semi-Furnished
3 BHK Apartment,"28,000",1400,"Kharadi, Pune",Semi-Furnished
3 BHK Apartment in Yugal Constructions Willed Ways,"30,000",1300,"Baner, Pune",Semi-Furnished
1 BHK Apartment in Bramha F Residences,"30,000",720,"Wadgaon Sheri, Pune",Semi-Furnished
3 BHK Apartment in Mittal Mittal Crest,"60,000",1850,"Kalyani Nagar, Pune",Furnished
2 BHK Apartment in Nyati Enchante II,"32,000",1150,"Kalyani Nagar, Pune",Semi-Furnished
3 BHK Apartment in Kundan Freshia,"23,500",1200,"Sus, Pune",Unfurnished
4 BHK Villa in Kumar City,"80,000",4100,"Wadgaon Sheri, Pune",Furnished
1 RK Studio Apartment in Nyati Enchante II,"14,000",435,"Kalyani Nagar, Pune",Unfurnished
1 BHK Apartment in Gera Park View,"23,000",670,"Kharadi, Pune",Unfurnished
2 BHK Apartment in Bhoomi Orion,"23,500",1020,"Wakad, Pune",Semi-Furnished
1 BHK Apartment,"13,000",520,"Sus, Pune",Semi-Furnished
2 BHK Apartment in Nyati Elan Central II,"15,000",1184,"Wagholi, Pune",Semi-Furnished
2 BHK Apartment in Nyati Elan Central II,"15,000",1184,"Wagholi, Pune",Semi-Furnished
1 BHK Apartment in Darshan Parklane Premier,"10,000",620,"Wagholi, Pune",Unfurnished
2 BHK Apartment in Nyati Elan Central II,"15,000",950,"Wagholi, Pune",Semi-Furnished
2 BHK Apartment in Nyati Elan Central II,"13,000",820,"Wagholi, Pune",Semi-Furnished
2 BHK Apartment in Ashtavinayak Aster,"13,000",1100,"Wagholi, Pune",Semi-Furnished
2 BHK Apartment in Nyati Elan Central II,"15,000",1180,"Wagholi, Pune",Semi-Furnished
1 BHK Apartment in Majestique Manhattan,"9,000",660,"Wagholi, Pune",Unfurnished
3 BHK Apartment in Nyati Elan Central II,"21,000",1600,"Wagholi, Pune",Semi-Furnished
2 BHK Apartment,"19,000",960,"Wagholi, Pune",Semi-Furnished
2 BHK Apartment in Raj Heramba Hallmark Avenue,"18,000",1002,"Ravet, Pune",Semi-Furnished
3 BHK Apartment in Kolte Patil Tuscan Estate Signature Meadows,"55,000",1850,"Kharadi, Pune",Furnished
2 BHK Apartment in Kumar Kruti,"40,000",1250,"Kalyani Nagar, Pune",Furnished
2 BHK Apartment in Nyati Meadows,"33,000",1250,"Wadgaon Sheri, Pune",Semi-Furnished
4 BHK Apartment in Marvel Vivacity,"85,000",2100,"Kalyani Nagar, Pune",Furnished
4 BHK Apartment in Reputed Builder Landmark Garden,"75,000",3200,"Kalyani Nagar, Pune",Furnished
4 BHK Apartment in Panchshil Trump Towers,3 L,6500,"Kalyani Nagar, Pune",Furnished
2 BHK Apartment in Karia Konark Splendour,"35,000",1250,"Wadgaon Sheri, Pune",Furnished
2 BHK Apartment in Kumar Kruti,"32,000",1250,"Kalyani Nagar, Pune",Unfurnished
2 BHK Apartment,"25,000",1050,"Wadgaon Sheri, Pune",Semi-Furnished
4 BHK Apartment in Ramesh Hermes Heritage Phase 1,"55,000",4000,"Yerawada, Pune",Furnished
2 BHK Apartment in Bramha Sun City Phase 2,"40,000",1250,"Kalyani Nagar, Pune",Furnished
2 BHK Apartment in BG BG Tatva,"33,000",1150,"Kharadi, Pune",Semi-Furnished
4 BHK Apartment in Reputed Builder Waterfront Condominiums,1.35 L,3200,"Kalyani Nagar, Pune",Furnished
2 BHK Apartment in Vascon Forest County,"42,000",1250,"Kharadi, Pune",Furnished
2 BHK Apartment in Anandtara Silicon Bay Phase III,"30,000",1250,"Wadgaon Sheri, Pune",Semi-Furnished
3 BHK Apartment in Vascon Marigold,"50,000",2100,"Kalyani Nagar, Pune",Semi-Furnished
1 BHK Apartment in Reputed Builder Punyadham,"17,000",650,"Wadgaon Sheri, Pune",Semi-Furnished
2 BHK Apartment in Bramha Sun City Phase II,"34,000",1225,"Wadgaon Sheri, Pune",Semi-Furnished
4 BHK Villa,"96,900",5700,"Wadgaon Sheri, Pune",Furnished
2 BHK Apartment in Karia Konark Splendour,"32,000",1270,"Wadgaon Sheri, Pune",Semi-Furnished
2 BHK Apartment in Nyati Meadows II,"32,000",1070,"Wadgaon Sheri, Pune",Semi-Furnished
4 BHK Apartment in Bramha Sun City Phase 2,"75,000",3500,"Kalyani Nagar, Pune",Furnished
3 BHK Apartment,"5,500",1300,"Rahatani, Pune",Furnished
2 BHK Apartment in Kolte Patil IVY Apartments,"21,000",1250,"Wagholi, Pune",Semi-Furnished
3 BHK Villa in Raviraj Ozone Villas,"32,000",2100,"Wagholi, Pune",Furnished
2 BHK Apartment in Kolte Patil IVY Apartments,"24,000",1250,"Wagholi, Pune",Furnished
2 BHK Apartment in Kolte Patil IVY Apartments,"24,000",1270,"Wagholi, Pune",Furnished
2 BHK Apartment,"30,000",1150,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment in Mahalaxmi Zen Estate,"27,000",1050,"Kharadi, Pune",Semi-Furnished
1 BHK Apartment in Godrej Infinity,"18,000",667,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Gera Song Of Joy,"38,000",1700,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment,"27,000",1150,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment in Gera Misty Waters,"24,000",1150,"Mundhwa, Pune",Semi-Furnished
2 BHK Apartment,"26,800",1150,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment,"26,500",1150,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment,"35,000",1500,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment in Gera Park View,"30,000",1150,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment,"32,000",1150,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment,"30,000",1200,"Kharadi, Pune",Semi-Furnished
1 BHK Apartment in Godrej Infinity,"20,000",610,"Mundhwa, Pune",Semi-Furnished
3 BHK Apartment in Darode Shriniwas Liviano Phase I,"45,000",1950,"Kharadi, Pune",Semi-Furnished
2 BHK Apartment in Godrej Infinity,"28,000",1050,"Mundhwa, Pune",Semi-Furnished
2 BHK Apartment in Godrej Infinity,"28,000",1050,"Mundhwa, Pune",Semi-Furnished
2 BHK Apartment in Godrej Infinity,"26,500",1050,"Mundhwa, Pune",Semi-Furnished
2 BHK Independent Floor in Godrej Infinity,"27,800",1100,"Mundhwa, Pune",Semi-Furnished
1 BHK Apartment,"18,000",1050,"Warje, Pune",Unfurnished
1 BHK Apartment,"26,000",700,"Bhoirwadi, Pune",Semi-Furnished
1 RK Studio Apartment,"5,000",200,"Baner, Pune",Unfurnished
3 BHK Apartment in Supreme Pallacio,1.25 L,1650,"Baner, Pune",Furnished
2 BHK Apartment in Phadnis Sahil Serene,"26,000",1250,"Baner, Pune",Semi-Furnished
3 BHK Apartment in Pride Pride Platinum,"45,000",1550,"Baner, Pune",Furnished
2 BHK Apartment in Yash Oakwood Hills,"28,000",1250,"Baner, Pune",Semi-Furnished
